"","Site","Triplicate","Layer","Al","As","Cd","Co","Cr","Cu","Fe","Mn","Ni","Pb","S","Zn","Acidity1","Acidity","Treatment"
"38","S11","C","1 No",10.9893769356289,0.0025,0.0047953644810017,0.149855140031303,0.00779246728162776,0.109893769356289,0.999034266875354,9.99034266875354,0.549468846781445,0.0047953644810017,399.613706750142,0.579439874787705,88.6797053764582,123.55516659604,"Non-incubated"
"39","S12","A","1 No",39.0716313240942,0.00931708131574554,0.0520955084321256,0.731340791450994,0.025045917515445,0.230422441142094,41.0753047253298,18.0330606111204,1.70312239105026,0.040073468024712,871.597929537485,2.90532643179162,107.911512117196,159.507838189569,"Non-incubated"
"40","S12","B","1 No",34.8039378169644,0.00805462560906891,0.0397759289336736,0.825350525373728,0.0218767609135205,0.228711591368623,31.8207431469389,17.8991680201531,1.78991680201531,0.0328151413702807,954.622294408167,2.98319467002552,82.4773988001341,111.725686441862,"Non-incubated"
"41","S12","C","1 No",52.9788084766094,0.00569772091163535,0.0249900039984006,0.669732107157137,0.0189924030387845,0.159936025589764,28.9884046381447,17.9928028788485,1.69932027189124,0.0309876049580168,999.600159936026,2.69892043182727,121.16876481991,181.09868630877,"Non-incubated"
"42","S13","A","1 No",3.89948006932409,0.00509932009065458,0.00219970670577256,0.0359952006399147,0.0109985335288628,0.0559925343287562,2.79962671643781,2.39968004266098,0.189974670043994,0.00649913344887348,139.98133582189,0.179976003199573,72.8427605195727,104.856266175428,"Non-incubated"
"43","S13","B","1 No",29.9900033322226,0.0025,0.00999666777740753,0.169943352215928,0.0189936687770743,0.169943352215928,16.9943352215928,9.99666777740753,0.719760079973342,0.0259913362212596,419.860046651116,0.819726757747418,104.151281902234,144.062028395492,"Non-incubated"
"44","S13","C","1 No",62.9517370016321,0.00969256903041002,0.0389701229057722,0.769410118908837,0.0249808480165207,0.179862105718949,58.9548013189888,50.9609299537022,2.09839123338774,0.0349731872231289,1299.00409685907,2.69793158578423,109.831995673905,168.012742273126,"Non-incubated"
"45","S14","A","1 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.347849625922,201.588279951617,"Non-incubated"
"46","S14","B","1 No",34.9502224105063,0.0169455623808515,0.0222410506248676,0.518957847913578,0.0285956365176869,0.307138318152934,15.8864647320483,20.1228553272612,1.58864647320483,0.0349502224105063,826.096166066511,1.37682694344419,125.088529828539,184.565130277885,"Non-incubated"
"47","S14","C","1 No",29.1092567436445,0.0058218513487289,0.0158777764056243,0.333433304518109,0.0185240724732283,0.116437026974578,6.88036977577051,24.3459238219572,1.21729619109786,0.0254044422489988,1164.37026974578,0.899740662985375,NA,NA,"Non-incubated"
